company_name,_name_key,country,region_bucket,revenue_eur_latest,ebitda_eur_latest,revenue_year,employees,industry_code,ownership_status,inactive,business_model_tags,source,stage_status
CHANGEGROUP APS,changegroup aps,DK,Denmark,39148917.6832772,2113760.75615537,2025,24,6202,Private,False,,Orbis,raw
MACH GMBH,mach gmbh,DE,DACH,43983548.33,3311164.87,2024,460,6201,Private,False,,Orbis,raw
ERNST & YOUNG ADVISORY SERVICES,ernst young advisory services,BE,Benelux,38900955.0,1054753.0,2025,114,6202,Private,False,,Orbis,raw
ISO SOFTWARE SYSTEME GMBH,iso software systeme gmbh,DE,DACH,43884445.010000005,2429479.24,2024,285,6201,Private,False,,Orbis,raw
WHOW GAMES GMBH,whow games gmbh,DE,DACH,43810878.97,10084544.29,2024,48,6209,Private,False,,Orbis,raw
PROSTEP AG,prostep ag,DE,DACH,43749347.85,1425370.69,2024,314,6209,Private,False,,Orbis,raw
WUESTENROT TECHNOLOGY GMBH,wuestenrot technology gmbh,AT,DACH,43745619.550000004,4791503.109999999,2024,179,6202,Private,False,,Orbis,raw
VISTEON ELECTRONICS GERMANY GMBH,visteon electronics germany gmbh,DE,DACH,43712904.229,2267168.53,2024,135,6201,Private,False,,Orbis,raw
CAS SOFTWARE AG,cas software ag,DE,DACH,43610385.72,4331072.37,2024,376,6201,Private,False,,Orbis,raw
KOLIBRI GAMES GMBH,kolibri games gmbh,DE,DACH,41748244.830000006,1290967.6500000001,2024,124,6201,Private,False,,Orbis,raw
BHS BAD HOMBURGER SERVICEGESELLSCHAFT MBH,bhs bad homburger servicegesellschaft mbh,DE,DACH,39984963.18,8357499.369999999,2024,255,6201,Private,False,,Orbis,raw
MWINGZ,mwingz,BE,Benelux,43086671.0,3317295.0,2024,103,6209,Private,False,,Orbis,raw
ADOBE SYSTEMS ENGINEERING GMBH,adobe systems engineering gmbh,DE,DACH,42303452.0,4610618.0,2024,222,6201,Private,False,,Orbis,raw
PDV GMBH,pdv gmbh,DE,DACH,41768905.59,9399434.83,2022,265,6201,Private,False,,Orbis,raw
